Witness ID,Witness Name,Title,Organization,Meeting Name,Date,Time,Acronym,Notice Link,Evidence Link,Minutes Link
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,FINA,"Wednesday, October 28, 2009",3:33 p.m. - 7:01 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/FINA/meeting-58/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/FINA/meeting-58/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/40-2/FINA/meeting-58/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,FOPO,"Wednesday, October 28, 2009",9:11 a.m. - 10:43 a.m. (EDT),FOPO,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/FOPO/meeting-22/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/FOPO/meeting-22/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/FOPO/meeting-22/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,OGGO,"Wednesday, October 28, 2009",9:06 a.m. - 10:57 a.m. (EST),OGGO,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,CHPC,"Wednesday, October 28, 2009",3:34 p.m. - 5:25 p.m. (EST),CHPC,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,FINA,"Wednesday, October 28, 2009",12:10 p.m. - 1:34 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,FOPO,"Thursday, April 3, 2008",9:11 a.m. - 10:43 a.m. (EDT),FOPO,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/FOPO/meeting-22/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/FOPO/meeting-22/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/FOPO/meeting-22/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,OGGO,"Thursday, April 3, 2008",9:06 a.m. - 10:57 a.m. (EST),OGGO,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,CHPC,"Thursday, April 3, 2008",3:34 p.m. - 5:25 p.m. (EST),CHPC,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,FINA,"Thursday, April 3, 2008",12:10 p.m. - 1:34 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,OGGO,"Thursday, February 14, 2008",9:06 a.m. - 10:57 a.m. (EST),OGGO,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-2/OGGO/meeting-13/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,CHPC,"Thursday, February 14, 2008",3:34 p.m. - 5:25 p.m. (EST),CHPC,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/CHPC/meeting-22/minutes
88271,Ms. Natalie Bull,", Executive Director",Heritage Canada Foundation,FINA,"Thursday, February 14, 2008",12:10 p.m. - 1:34 p.m. (EDT),FINA,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/notice,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/evidence,https://www.ourcommons.ca//www.ourcommons.ca/DocumentViewer/en/39-1/FINA/meeting-20/minutes
