department_code,department_name_en,department_name_fr,minister_name,minister_name_en,minister_name_fr,start_date,end_date,witness_id
MRPEDAC,Minister responsible for the Pacific Economic Development Agency of Canada,Ministre responsable de l’agence de développement économique du pacifique canada,Harjit S. Sajjan,"Sajjan, Harjit S. (Hon.)","Sajjan, Harjit S. (L’hon.)",2021-10-26 10:30:00,2100-01-01 00:00:00,278950.0
MRPEDC,Minister responsible for Prairies Economic Development Canada,Ministre responsable de développement économique canada pour les prairies,Dan Vandal,"Vandal, Dan (Hon.)","Vandal, Dan (L’hon.)",2021-10-26 10:30:00,2100-01-01 00:00:00,253397.0
MS,Minister of Seniors,Ministre des Aînés,Kamal Khera,"Khera, Kamal (Hon.)","Khera, Kamal (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278919.0
MS,Minister of Seniors,Ministre des Aînés,Deb Schulte,"Schulte, Deb (Hon.)","Schulte, Deb (L’hon.)",2019-11-20 15:00:00,2021-10-26 10:29:59,253377.0
MS1,Minister of Sport,Ministre des sports,Pascale St-Onge,"St-Onge, Pascale (Hon.)","St-Onge, Pascale (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,278949.0
MSB,Minister of Small Business,Ministre de la petite entreprise,Rechie Valdez,"Valdez, Rechie (Hon.)","Valdez, Rechie (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300000.0
MSBEP,Minister of Small Business and Export Promotion,Ministre de la Petite Entreprise et de la Promotion des exportations,Mary Ng,"Ng, Mary (Hon.)","Ng, Mary (L’hon.)",2018-07-18 10:00:00,2021-10-26 10:29:59,253401.0
MSPA,Minister of Sport and Physical Activity,Ministre des sports et de l’activité physique,Carla Qualtrough,"Qualtrough, Carla (Hon.)","Qualtrough, Carla (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300028.0
MT,Minister of Transport,Ministre des Transports,Pablo Rodriguez,"Rodriguez, Pablo (Hon.)","Rodriguez, Pablo (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300025.0
MT,Minister of Transport,Ministre des Transports,Omar Alghabra,"Alghabra, Omar (Hon.)","Alghabra, Omar (L’hon.)",2021-01-12 00:00:00,2023-07-26 10:29:59,271245.0
MT,Minister of Transport,Ministre des Transports,Marc Garneau,"Garneau, Marc (Hon.)","Garneau, Marc (L’hon.)",2015-11-04 10:45:00,2021-01-11 23:59:59,214333.0
MT1,Minister of Tourism,Ministre du tourisme,Soraya Martinez Ferrada,"Martinez Ferrada, Soraya (Hon.)","Martinez Ferrada, Soraya (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,
MT1,Minister of Tourism,Ministre du tourisme,Randy Boissonnault,"Boissonnault, Randy (Hon.)","Boissonnault, Randy (L’hon.)",2021-10-26 10:30:00,2023-07-26 10:29:59,
MVA,Minister of Veterans Affairs,Ministre des Anciens Combattants,Ginette Petitpas Taylor,"Petitpas Taylor, Ginette (Hon.)","Petitpas Taylor, Ginette (L’hon.)",2023-07-26 10:30:00,2100-01-01 00:00:00,300036.0
MVA,Minister of Veterans Affairs,Ministre des Anciens Combattants,Lawrence MacAulay,"MacAulay, Lawrence (Hon.)","MacAulay, Lawrence (L’hon.)",2019-03-01 10:30:01,2023-07-26 10:29:59,246259.0
